# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
ENSG00000130762    1    3270990    3497677     59      14  160840      -0.2264   -7.9242e-14      -0.2264
ENSG00000162591    1    3306484    3628059     67      19  160479    -0.074257   -7.9256e-14    -0.074257
ENSG00000158109    1    3441566    3646691     27      11  160341      0.65111    -7.927e-14      0.65111
ENSG00000116213    1    3447331    3669325     37      13  160380      0.10133   -7.9256e-14      0.10133
ENSG00000078900    1    3469084    3752765     80      21  159059      0.22723   -7.9242e-14      0.22723
ENSG00000162592    1    3568962    3788209     85      16  158574     -0.14995   -7.9242e-14     -0.14995
ENSG00000235169    1    3589352    3792546     79      14  158359     -0.17943   -7.9242e-14     -0.17943
ENSG00000130764    1    3596784    3813068     88      17  158181      0.08485   -7.9256e-14      0.08485
ENSG00000116198    1    3628645    3873778     92      17  158093      0.27683    -7.927e-14      0.27683
ENSG00000169598    1    3673845    3901993     78      13  157617      0.42885    -7.927e-14      0.42885
ENSG00000198912    1    3705689    3916857     62      11  157639      0.57582    -7.927e-14      0.57582
ENSG00000196581    1    4614792    4952594    239      65  158742      0.11771   -7.9256e-14      0.11771
ENSG00000131697    1    5822871    6152533    144      23  157964      -0.1102   -7.9256e-14      -0.1102
ENSG00000069424    1    5951526    6261253    120      25  158270      0.18967   -7.9242e-14      0.18967
ENSG00000268332    1    6000630    6201399     79      20  158455       0.7864    -7.927e-14       0.7864
ENSG00000116254    1    6061853    6340183     94      24  160369     -0.39018    -7.927e-14     -0.39018
ENSG00000116251    1    6141329    6369449     86      22  160220      -1.1901    -7.927e-14      -1.1901
ENSG00000158286    1    6165535    6381359     79      20  159912      -1.2751    -7.927e-14      -1.2751
ENSG00000116237    1    6181253    6396032     79      19  159719       -1.597    -7.927e-14       -1.597
ENSG00000173673    1    6204252    6405638     70      16  159276      -1.7592    -7.927e-14      -1.7592
ENSG00000158292    1    6207406    6421035     74      15  158724      -1.5048    -7.927e-14      -1.5048
ENSG00000097021    1    6224329    6554451     98      16  156368     -0.74126    -7.927e-14     -0.74126
ENSG00000069812    1    6372478    6584730     64      11  155126      0.22173   -7.9242e-14      0.22173
ENSG00000187017    1    6384848    6621430     68      12  155732      0.11099   -7.9256e-14      0.11099
ENSG00000215788    1    6421211    6626255     51       9  155925      0.52817    -7.927e-14      0.52817
ENSG00000171680    1    6426152    6680121     72      14  156379       1.9581    -7.927e-14       1.9581
ENSG00000162408    1    6481407    6714595     82      15  156661       3.0505   -7.9048e-14       3.0505
ENSG00000173662    1    6515241    6739817     84      13  156677        3.395   -7.9048e-14        3.395
ENSG00000204859    1    6540061    6749340     80      11  158977       3.4478   -7.9048e-14       3.4478
ENSG00000162413    1    6550784    6774667     89      11  157701       3.5026   -7.9048e-14       3.5026
ENSG00000116273    1    6573745    6784093     89      11  157476       3.5384   -7.9048e-14       3.5384
ENSG00000041988    1    6584926    6795646     85      10  156924        3.663   -7.9048e-14        3.663
ENSG00000007923    1    6594228    6861984    104      14  157511       3.7773   -7.9048e-14       3.7773
ENSG00000171735    1    6745384    7929766    557     102  159575      0.46195    -7.927e-14      0.46195
ENSG00000049245    1    7731329    7941492    106      20  158518     0.092864   -7.9256e-14     0.092864
ENSG00000049246    1    7744380    8005237    124      24  158264    -0.025282   -7.9253e-14    -0.025282
ENSG00000049247    1    7803143    8013572    111      21  158446     0.035943   -7.9249e-14     0.035943
ENSG00000049249    1    7879907    8100926     88      18  157537      -1.0113    -7.927e-14      -1.0113
ENSG00000116288    1    7914351    8145565     76      14  158148      -1.0544    -7.927e-14      -1.0544
ENSG00000116285    1    7964464    8186368     65       8  157010      -1.2713    -7.927e-14      -1.2713
ENSG00000162426    1    8277886    8504227     75      15  160136       5.0003   -7.9048e-14       5.0003
ENSG00000142599    1    8312457    8977702    175      18  160706       3.5632   -7.9048e-14       3.5632
ENSG00000074800    1    8821061    9039308     91      20  161279       1.7284    -7.927e-14       1.7284
ENSG00000131686    1    8905926    9135151    110      32  161057      0.82441    -7.927e-14      0.82441
ENSG00000197241    1    8963359    9186404    110      32  161120     0.087165   -7.9256e-14     0.087165
ENSG00000142583    1    8995166    9248537    114      33  161112    -0.043761   -7.9249e-14    -0.043761
ENSG00000180758    1    9060364    9289229     94      24  160931     -0.21258   -7.9242e-14     -0.21258
ENSG00000049239    1    9194834    9431396    111      35  159569     -0.57672    -7.927e-14     -0.57672
ENSG00000171621    1    9252939    9529591    130      42  159305      -1.8518    -7.927e-14      -1.8518
ENSG00000171612    1    9499541    9745237     71      13  160808       -2.042   -7.9048e-14       -2.042
ENSG00000188807    1    9548932    9774935     59       9  161382      -1.2055    -7.927e-14      -1.2055
ENSG00000171608    1    9611790    9889172     74      12  161389     -0.72977    -7.927e-14     -0.72977
ENSG00000179840    1    9612668    9814644     61      11  161386     -0.47734    -7.927e-14     -0.47734
ENSG00000171603    1    9689084    9984584     63      11  161384     -0.49872    -7.927e-14     -0.49872
ENSG00000178585    1    9808334   10070394     46       9  160764      -2.4235   -7.9048e-14      -2.4235
ENSG00000162441    1    9882173   10103465     39       8  158874      -2.5271   -7.9048e-14      -2.5271
ENSG00000173614    1    9903486   10145559     34       6  158497       -2.581   -7.9048e-14       -2.581
ENSG00000162444    1    9957264   10176078     28       4  157921      -2.2332   -7.9048e-14      -2.2332
ENSG00000130939    1    9992890   10341297     76      12  156628     -0.58209    -7.927e-14     -0.58209
ENSG00000054523    1   10170863   10541661    133      11  157734    -0.028489   -7.9253e-14    -0.028489
ENSG00000142657    1   10358649   10580201     96      11  157460     -0.21386   -7.9242e-14     -0.21386
ENSG00000251503    1   10390159   10612210    106      13  157146      -0.5018    -7.927e-14      -0.5018
ENSG00000175279    1   10390159   10612210    106      13  157146      -0.5018    -7.927e-14      -0.5018
ENSG00000241563    1   10409776   10611959     99      12  157190     -0.54196    -7.927e-14     -0.54196
ENSG00000160049    1   10416579   10632583    105      12  157735     -0.76656    -7.927e-14     -0.76656
ENSG00000142655    1   10432345   10790815    146      22  158360      -1.0861    -7.927e-14      -1.0861
ENSG00000130940    1   10596661   10956707    108      29  159362       -1.441    -7.927e-14       -1.441
ENSG00000175262    1   10906528   11142094     90      21  158765     0.021634   -7.9253e-14     0.021634
ENSG00000120948    1   10972414   11185796     71      14  158524    -0.024961   -7.9253e-14    -0.024961
ENSG00000009724    1   10986580   11207290     65      10  158316     -0.25772    -7.927e-14     -0.25772
ENSG00000116649    1   11014641   11220081     49       6  160580     0.017461   -7.9253e-14     0.017461
ENSG00000171824    1   11026675   11259938     42       4  161405      0.10162   -7.9256e-14      0.10162
ENSG00000198793    1   11066592   11422564     78       6  160931       -0.793    -7.927e-14       -0.793
ENSG00000171819    1   11149398   11356038     36       3  160379      -2.2118   -7.9048e-14      -2.2118
ENSG00000120942    1   11233263   11456106     59       8  160779      -2.0755   -7.9048e-14      -2.0755
ENSG00000204624    1   11439223   11697641    103      19  160772      0.40805    -7.927e-14      0.40805
ENSG00000116661    1   11608424   11815842     71      22  161312      -1.1154    -7.927e-14      -1.1154
ENSG00000132879    1   11614432   11823384     70      22  161311      -1.0756    -7.927e-14      -1.0756
ENSG00000116663    1   11624181   11834411     73      23  161405     -0.92412    -7.927e-14     -0.92412
ENSG00000116670    1   11634537   11851707     84      24  160697     -0.73044    -7.927e-14     -0.73044
ENSG00000162490    1   11651786   11885914    116      24  159782     -0.21354   -7.9242e-14     -0.21354
ENSG00000177674    1   11696141   11914859    125      22  157703     -0.14473   -7.9242e-14     -0.14473
ENSG00000215910    1   11721844   11949642    136      23  157898     -0.27119    -7.927e-14     -0.27119
ENSG00000177000    1   11745780   11966977    134      22  157846      -0.2675    -7.927e-14      -0.2675
ENSG00000011021    1   11766207   12003201    141      22  157837     -0.25921    -7.927e-14     -0.25921
ENSG00000175206    1   11805766   12008402    132      20  157594     -0.36978    -7.927e-14     -0.36978
ENSG00000120937    1   11817521   12018988    132      19  157594     -0.38287    -7.927e-14     -0.38287
ENSG00000116685    1   11879648   12086485    115      20  158607     -0.91463    -7.927e-14     -0.91463
ENSG00000083444    1   11894262   12135595    120      22  158724     -0.53726    -7.927e-14     -0.53726
ENSG00000116688    1   11940238   12173571     89      15  161033      -0.2963    -7.927e-14      -0.2963
ENSG00000116691    1   11979523   12192102     85      17  160648      0.06983   -7.9256e-14      0.06983
ENSG00000120949    1   12023434   12304264     93      24  160209     -0.30348    -7.927e-14     -0.30348
ENSG00000028137    1   12127060   12369285     67      22  155019      -0.7146    -7.927e-14      -0.7146
ENSG00000048707    1   12190124   12672099    114      25  157087     -0.90479    -7.927e-14     -0.90479
ENSG00000162496    1   12527939   12777737     63      17  159968      0.54446    -7.927e-14      0.54446
ENSG00000204518    1   12604566   12827097     91      19  158849      0.80372    -7.927e-14      0.80372
ENSG00000188984    1   12676118   12888726     63      10  158159      0.90356    -7.927e-14      0.90356
ENSG00000157330    1   12706163   12923847     55       8  158821       1.0143    -7.927e-14       1.0143
ENSG00000116726    1   12734984   12938049     49       7  158504      0.70521    -7.927e-14      0.70521
ENSG00000116721    1   12751546   12956777     46       6  158315      0.59966    -7.927e-14      0.59966
ENSG00000204513    1   12784468   12991264     32       4  156963      0.50655    -7.927e-14      0.50655
ENSG00000179172    1   12807261   13008578     14       4  153648      0.58263    -7.927e-14      0.58263
ENSG00000120952    1   12816941   13021764     10       2  154959      0.37109    -7.927e-14      0.37109
ENSG00000204480    1   13594889   13798405     15       5  157111     -0.50364    -7.927e-14     -0.50364
ENSG00000204479    1   13616092   13819089     33       8  157501      0.40404    -7.927e-14      0.40404
ENSG00000204478    1   13636907   13847803     45      13  158272      0.47546    -7.927e-14      0.47546
ENSG00000162494    1   13701445   13940543    100      29  159994       1.0539    -7.927e-14       1.0539
ENSG00000162493    1   13809960   14044452    112      33  160004       1.5133    -7.927e-14       1.5133
ENSG00000116731    1   13926693   14251574    158      38  160102      0.41114    -7.927e-14      0.41114
ENSG00000189337    1   14825200   15544539    374      89  160033     -0.72425    -7.927e-14     -0.72425
ENSG00000171729    1   15379028   15646976    174      37  159490      -2.6173   -7.9048e-14      -2.6173
ENSG00000204464    1   15390840   15597813    151      32  159238       -2.696   -7.9048e-14       -2.696
ENSG00000142621    1   15473768   15826779    201      49  159015      -1.5179    -7.927e-14      -1.5179
ENSG00000142634    1   15636391   15856839     89      22  158458      -0.3594    -7.927e-14      -0.3594
ENSG00000162438    1   15664935   15875737     88      18  158741     -0.43841    -7.927e-14     -0.43841
ENSG00000142615    1   15683223   15898586     86      16  159345     -0.59147    -7.927e-14     -0.59147
ENSG00000215704    1   15692404   15917895     85      14  159321     -0.76383    -7.927e-14     -0.76383
ENSG00000132906    1   15717327   15953029     86      12  159790     -0.92644    -7.927e-14     -0.92644
ENSG00000116138    1   15753308   16018874     88       9  158410      -1.4331    -7.927e-14      -1.4331
ENSG00000116771    1   15798848   16011605     69       6  159891      -1.1036    -7.927e-14      -1.1036
ENSG00000197312    1   15843995   16095539     87       9  158782     -0.81656    -7.927e-14     -0.81656
ENSG00000215695    1   15886364   16088217     70       8  158145     -0.52751    -7.927e-14     -0.52751
ENSG00000116786    1   15910827   16161264     85      12  157569     -0.94459    -7.927e-14     -0.94459
ENSG00000162461    1   15962900   16167891     81      14  157286      -1.2425    -7.927e-14      -1.2425
ENSG00000162460    1   15968917   16174477     80      14  157235      -1.2567    -7.927e-14      -1.2567
ENSG00000162458    1   15983102   16213089     91      17  157016      -1.2899    -7.927e-14      -1.2899
ENSG00000065526    1   16074359   16366955    127      17  157097      -1.8914    -7.927e-14      -1.8914
ENSG00000116809    1   16168364   16402627    104      14  155705      -1.4294    -7.927e-14      -1.4294
ENSG00000183888    1   16230731   16435302     89      14  155248      -1.5215    -7.927e-14      -1.5215
ENSG00000173641    1   16240523   16446089     90      14  155317      -1.5475    -7.927e-14      -1.5475
ENSG00000186510    1   16245370   16460545     97      17  155368      -1.3527    -7.927e-14      -1.3527
ENSG00000184908    1   16270272   16483803     98      20  155708      -1.4523    -7.927e-14      -1.4523
ENSG00000185519    1   16284264   16500127    105      22  156395      -1.3306    -7.927e-14      -1.3306
ENSG00000142627    1   16350832   16582582     99      19  157517     -0.64252    -7.927e-14     -0.64252
ENSG00000142632    1   16424349   16639104     96      14  160511     -0.02098   -7.9253e-14     -0.02098
ENSG00000204377    1   16455368   16656038     91      12  160875    -0.066432   -7.9256e-14    -0.066432
ENSG00000132881    1   16458195   16663657     93      12  160887    -0.044661   -7.9249e-14    -0.044661
ENSG00000037637    1   16473334   16778949    113      14  160233     -0.15552   -7.9242e-14     -0.15552
ENSG00000055070    1   16579070   16824640     70      10  158887      0.33653    -7.927e-14      0.33653
ENSG00000187144    1   16613612   16863919     58      10  159009      0.20556   -7.9242e-14      0.20556
ENSG00000157191    1   16667167   16886573     41       9  158015     0.022962   -7.9253e-14     0.022962
ENSG00000268674    1   16765561   16966070     19       3  158608      0.46384    -7.927e-14      0.46384
ENSG00000219481    1   16788814   17040057     10       3  156090      0.43124    -7.927e-14      0.43124
ENSG00000058453    1   16966768   17399474     76      11  156420       1.0181    -7.927e-14       1.0181
ENSG00000117122    1   17200997   17407330     87      10  156825       1.0511    -7.927e-14       1.0511
ENSG00000159363    1   17212453   17438423    108      12  156522      0.79132    -7.927e-14      0.79132
ENSG00000117118    1   17245217   17480665    119      14  156973      0.72463    -7.927e-14      0.72463
ENSG00000117115    1   17293256   17545948    146      20  157710      0.56436    -7.927e-14      0.56436
ENSG00000142623    1   17431621   17672500    138      29  159047       -1.303    -7.927e-14       -1.303
ENSG00000142619    1   17475593   17710728    152      33  159038      -1.4363    -7.927e-14      -1.4363
ENSG00000159339    1   17534690   17790499    162      32  159466      -1.0856    -7.927e-14      -1.0856
ENSG00000269468    1   17555507   17776070    154      30  159499      -1.1716    -7.927e-14      -1.1716
ENSG00000179051    1   17633256   17866220    105      20  160109      -1.1096    -7.927e-14      -1.1096
ENSG00000074964    1   17766330   18124369     93      21  160203     -0.11131   -7.9256e-14     -0.11131
ENSG00000117148    1   17981808   18253558    124      26  160838      -1.0715    -7.927e-14      -1.0715
ENSG00000117154    1   18334240   18804977    308      71  160167     -0.49372    -7.927e-14     -0.49372
ENSG00000179023    1   18707424   18912478    138      35  160461     -0.73758    -7.927e-14     -0.73758
ENSG00000009709    1   18857500   19175360    149      41  160764      -1.7728    -7.927e-14      -1.7728
ENSG00000179002    1   19066093   19286176     96      28  159292       -2.003   -7.9048e-14       -2.003
ENSG00000255275    1   19075767   19347615    114      33  158944      -2.3652   -7.9048e-14      -2.3652
ENSG00000159423    1   19097926   19329275     88      28  159927      -1.9555    -7.927e-14      -1.9555
ENSG00000169991    1   19130775   19383180     88      24  157677      -1.8745    -7.927e-14      -1.8745
ENSG00000127481    1   19301000   19636770    136      17  154868      -1.6842    -7.927e-14      -1.6842
ENSG00000127463    1   19442158   19678046    106      19  155304      -1.0258    -7.927e-14      -1.0258
ENSG00000053372    1   19478033   19686622    108      20  156272     -0.83266    -7.927e-14     -0.83266
ENSG00000162482    1   19509052   19715744    115      21  155707     -0.51965    -7.927e-14     -0.51965
ENSG00000053371    1   19530459   19738640    123      20  156590     -0.52032    -7.927e-14     -0.52032
ENSG00000040487    1   19538820   19755794    133      20  157388     -0.36737    -7.927e-14     -0.36737
ENSG00000077549    1   19565267   19912066    198      28  158281     -0.33157    -7.927e-14     -0.33157
ENSG00000270136    1   19823473   20084549    107      22  161074     -0.70492    -7.927e-14     -0.70492
ENSG00000173436    1   19823477   20056314     97      19  161040     -0.52706    -7.927e-14     -0.52706
ENSG00000158747    1   19867048   20084945     89      19  161223     -0.67906    -7.927e-14     -0.67906
ENSG00000158748    1   19891780   20106055     90      19  161017     -0.82125    -7.927e-14     -0.82125
ENSG00000162542    1   19908706   20226438    143      37  159147      -1.3764    -7.927e-14      -1.3764
ENSG00000178828    1   20040523   20241771     85      25  156834      -2.1943   -7.9048e-14      -2.1943
ENSG00000169914    1   20109006   20339438    110      29  158043      -1.9465    -7.927e-14      -1.9465
ENSG00000188784    1   20146502   20350110     92      22  159887      -1.6344    -7.927e-14      -1.6344
ENSG00000188257    1   20201925   20406932     94      24  159147      -1.4194    -7.927e-14      -1.4194
ENSG00000127472    1   20254672   20517683    105      27  159608      -1.4707    -7.927e-14      -1.4707
ENSG00000117215    1   20338432   20546050     81      23  158180      -1.0912    -7.927e-14      -1.0912
ENSG00000158786    1   20365819   20576879     96      28  158296     -0.95555    -7.927e-14     -0.95555
ENSG00000187980    1   20387746   20603917    107      30  158714     -0.94983    -7.927e-14     -0.94983
ENSG00000162543    1   20412578   20622541     94      27  159124     -0.22429   -7.9242e-14     -0.22429
ENSG00000158816    1   20517412   20781387    157      33  157412      0.69283    -7.927e-14      0.69283
ENSG00000162545    1   20708884   20912713    121      29  157328       1.0029    -7.927e-14       1.0029
ENSG00000090432    1   20725943   20934654    135      32  157605      0.65016    -7.927e-14      0.65016
ENSG00000183114    1   20778932   20981512    143      29  157986      0.24559   -7.9242e-14      0.24559
ENSG00000158825    1   20815441   21045401    163      32  158462       0.1512   -7.9242e-14       0.1512
ENSG00000158828    1   20859948   21078004    159      33  158945      0.50039    -7.927e-14      0.50039
ENSG00000244038    1   20878270   21088000    152      31  159607      0.32004    -7.927e-14      0.32004
ENSG00000117245    1   20890507   21144510    151      30  160002      0.25897    -7.927e-14      0.25897
ENSG00000189410    1   20946225   21159330     96      20  160217      0.81298    -7.927e-14      0.81298
ENSG00000127483    1   20969154   21213816     99      18  160207      0.88551    -7.927e-14      0.88551
ENSG00000075151    1   21032963   21603377    138      12  159112      0.94359    -7.927e-14      0.94359
ENSG00000117298    1   21443740   21771997    106      24  154787       1.1155    -7.927e-14       1.1155
ENSG00000142794    1   21666621   21911498    105      27  156335      -2.7591   -7.9048e-14      -2.7591
ENSG00000162551    1   21735858   22004905    139      35  158959      -1.4519    -7.927e-14      -1.4519
ENSG00000076864    1   21822708   22095801    164      40  158646      0.30546    -7.927e-14      0.30546
ENSG00000090686    1   21904791   22210099    140      34  157637      0.91813    -7.927e-14      0.91813
ENSG00000187942    1   22038758   22251714     78      16  155850      0.95132    -7.927e-14      0.95132
ENSG00000142798    1   22048738   22363790    104      22  156586      0.44931    -7.927e-14      0.44931
ENSG00000219073    1   22203514   22425135     66      13  154630      0.98183    -7.927e-14      0.98183
ENSG00000142789    1   22228149   22439032     61      13  154612       1.1674    -7.927e-14       1.1674
ENSG00000070831    1   22279120   22519437    102      24  153929      0.87642    -7.927e-14      0.87642
ENSG00000162552    1   22343798   22570462    132      28  154370       0.5774    -7.927e-14       0.5774
ENSG00000184677    1   22678344   22957650    117      24  159792      -2.5465   -7.9048e-14      -2.5465
ENSG00000070886    1   22790057   23030087     94      21  159773      -1.4888    -7.927e-14      -1.4888
ENSG00000173372    1   22862999   23066101     87      19  160695      -1.1758    -7.927e-14      -1.1758
ENSG00000159189    1   22870123   23074603     90      19  160836      -1.2655    -7.927e-14      -1.2655
ENSG00000173369    1   22879255   23088031     88      18  160823      -1.3081    -7.927e-14      -1.3081
ENSG00000133216    1   22937332   23341818    165      39  161157      0.39564    -7.927e-14      0.39564
ENSG00000215906    1   23179536   23391831     52       9  161405      0.29922    -7.927e-14      0.29922
ENSG00000227868    1   23237327   23442343     58       6  159092     -0.06197   -7.9249e-14     -0.06197
ENSG00000004487    1   23245941   23510182     79       8  158433     -0.36967    -7.927e-14     -0.36967
ENSG00000169641    1   23310516   23604301     97       9  158985     -0.68811    -7.927e-14     -0.68811
ENSG00000179546    1   23416993   23621222     74       8  159139     -0.57234    -7.927e-14     -0.57234
ENSG00000125944    1   23530264   23770829     78      12  160917      0.40247    -7.927e-14      0.40247
ENSG00000125945    1   23585941   23795935     64      10  160772      0.78896    -7.927e-14      0.78896
ENSG00000249087    1   23595490   23798332     62      10  160752      0.82023    -7.927e-14      0.82023
ENSG00000204219    1   23607554   23851233     70      13  160803      0.70868    -7.927e-14      0.70868
ENSG00000088280    1   23655056   23911061     82      19  159325      0.23071   -7.9242e-14      0.23071
ENSG00000007968    1   23732922   23957712     61      18  158268     -0.31603    -7.927e-14     -0.31603
ENSG00000117318    1   23784409   23986285     54      19  158177      0.13529   -7.9242e-14      0.13529
ENSG00000197880    1   23807985   24067058     74      21  157885     -0.65605    -7.927e-14     -0.65605
ENSG00000142676    1   23918269   24122915     56      13  158762     -0.45256    -7.927e-14     -0.45256
ENSG00000011007    1   23969645   24188549     56       7  159509      -1.5902    -7.927e-14      -1.5902
ENSG00000057757    1   24004895   24214722     52       5  160409       -1.074    -7.927e-14       -1.074
ENSG00000011009    1   24017460   24222029     55       5  160463      -1.0003    -7.927e-14      -1.0003
ENSG00000117308    1   24022089   24227271     53       5  160428     -0.95852    -7.927e-14     -0.95852
ENSG00000117305    1   24028375   24265110     50       4  160480     -0.92007    -7.927e-14     -0.92007
ENSG00000179163    1   24071567   24294784     44       4  161006     -0.79518    -7.927e-14     -0.79518
ENSG00000188822    1   24097016   24385549     48       5  161405     -0.71666    -7.927e-14     -0.71666
ENSG00000189266    1   24185599   24389952     30       7  160722     -0.78821    -7.927e-14     -0.78821
ENSG00000188529    1   24191294   24407417     47       9  160969     -0.17146   -7.9242e-14     -0.17146
