GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000162576    1    1188069    1397157     51       8  482730     0.042125       0.4832
ENSG00000175756    1    1209110    1410875     43       7  482730     0.017808       0.4929
ENSG00000221978    1    1221091    1434708     35       5  482730      0.26391      0.39592
ENSG00000224870    1    1234902    1437426     31       4  482730      0.38982      0.34834
ENSG00000242485    1    1237288    1442693     30       4  482730      0.42528      0.33532
ENSG00000235098    1    1253800    1457149     27       4  471940       0.5584      0.28829
ENSG00000205116    1    1261508    1463167     25       5  467220      0.49143      0.31156
ENSG00000179403    1    1270241    1478262     31       6  446934        0.489      0.31242
ENSG00000215915    1    1285069    1505538     42       8  429257        0.562      0.28706
ENSG00000160072    1    1307143    1533228     37       8  419221      0.61932      0.26785
ENSG00000197785    1    1347531    1570067     32       7  409298      0.34206      0.36615
ENSG00000205090    1    1370554    1575833     29       6  401702      0.34005      0.36691
ENSG00000160075    1    1377053    1610249     31       7  403575      0.30122      0.38163
ENSG00000215014    1    1410355    1611373     31       7  403575      0.30122      0.38163
ENSG00000228594    1    1433392    1635476     35       8  408514      0.11641      0.45367
ENSG00000197530    1    1450795    1665990     36       9  412584      0.45324      0.32519
ENSG00000189409    1    1467474    1670639     31       7  417126      0.62127      0.26721
ENSG00000248333    1    1470603    1690473     36       9  428916      0.51431      0.30352
ENSG00000189339    1    1492939    1724167     39      10  455517      0.19781       0.4216
ENSG00000008128    1    1534169    1755766     36       8  462741    -0.097412       0.5388
ENSG00000215790    1    1556277    1777431     42       8  463600      0.39588       0.3461
ENSG00000008130    1    1582671    1811896     53       8  462247      0.67781      0.24895
ENSG00000078369    1    1616729    1922495     88      10  466823      0.53837      0.29516
ENSG00000169885    1    1746266    1948735     68      11  463772      0.63317      0.26331
ENSG00000178821    1    1749029    1950712     68      11  462024      0.69414       0.2438
ENSG00000142609    1    1753396    2035276     94      18  440473      0.38772      0.34911
ENSG00000187730    1    1850780    2062192     77      18  432983      0.85561      0.19611
ENSG00000067606    1    1881909    2216834    114      16  424996      0.95185      0.17059
ENSG00000162585    1    2015903    2244159    103      14  422869       1.1429      0.12653
ENSG00000269554    1    2021237    2223179     84       9  432847        1.154      0.12424
ENSG00000203301    1    2043360    2245620     81      12  421579       1.0976       0.1362
ENSG00000157933    1    2060134    2341558    130      28  406948      0.65543       0.2561
ENSG00000116151    1    2152692    2423146    117      37  385309      0.62044      0.26749
ENSG00000269753    1    2158581    2359042     95      29  386533    0.0046252      0.49815
ENSG00000157916    1    2223267    2436883    103      34  391028      0.48924      0.31234
ENSG00000157911    1    2236236    2445236     96      31  396255      0.27495      0.39168
ENSG00000149527    1    2257419    2536969    134      31  424532      0.50103      0.30817
ENSG00000157881    1    2339972    2558039     91      14  450860      0.61366      0.26972
ENSG00000197921    1    2360184    2561684     83      12  457810      0.70025      0.24188
ENSG00000157873    1    2387078    2596821     76      10  468048      0.64232      0.26033
ENSG00000157870    1    2417930    2622908     68       8  478115      0.34442      0.36526
ENSG00000142606    1    2422078    2664481     65       7  482472      0.23079      0.40874
ENSG00000215912    1    2467415    2818286     66       8  462301      0.67467      0.24994
ENSG00000169717    1    2838046    3039465     69      14  384297     -0.16547      0.56571
ENSG00000142611    1    2885732    3455185    229      65  399585     -0.99794      0.84084
ENSG00000130762    1    3270990    3497677     88      25  432657     -0.45683       0.6761
ENSG00000162591    1    3306484    3628059    121      40  419782      -0.8605      0.80524
ENSG00000158109    1    3441566    3646691     78      32  394986     -0.79018      0.78529
ENSG00000116213    1    3447331    3669325     93      35  403548     -0.97555      0.83536
ENSG00000078900    1    3469084    3752765    134      42  404746     -0.44252      0.67094
ENSG00000162592    1    3568962    3788209    117      27  405008     -0.26734       0.6054
ENSG00000235169    1    3589352    3792546    106      23  406751     -0.11706      0.54659
ENSG00000130764    1    3596784    3813068    116      26  404961     -0.29041      0.61425
ENSG00000116198    1    3628645    3873778    116      26  404239     -0.15442      0.56136
ENSG00000169598    1    3673845    3901993     88      17  396649      0.26345       0.3961
ENSG00000198912    1    3705689    3916857     67      13  393168     0.057435       0.4771
ENSG00000196581    1    4614792    4952594    242      67  384942       1.2372      0.10801
ENSG00000131697    1    5822871    6152533    155      27  392696       -1.026      0.84755
ENSG00000069424    1    5951526    6261253    139      31  392936      -0.1067      0.54249
ENSG00000268332    1    6000630    6201399     91      24  393802       0.1238      0.45074
ENSG00000116254    1    6061853    6340183    116      32  410664      0.49878      0.30897
ENSG00000116251    1    6141329    6369449    103      27  415381     -0.16597      0.56591
ENSG00000158286    1    6165535    6381359     93      25  415884    -0.063142      0.52517
ENSG00000116237    1    6181253    6396032     93      24  416626     -0.47497       0.6826
ENSG00000173673    1    6204252    6405638     80      19  421438     -0.66024      0.74545
ENSG00000158292    1    6207406    6421035     85      18  420239     -0.80883      0.79069
ENSG00000097021    1    6224329    6554451    111      19  436953     -0.77287       0.7802
ENSG00000069812    1    6372478    6584730     69      12  445678     -0.95437      0.83005
ENSG00000187017    1    6384848    6621430     73      13  453176      -1.0208      0.84632
ENSG00000215788    1    6421211    6626255     56      11  468206     -0.90253      0.81661
ENSG00000171680    1    6426152    6680121     79      16  472339     -0.86273      0.80586
ENSG00000162408    1    6481407    6714595     93      18  475357      -1.6991      0.95535
ENSG00000173662    1    6515241    6739817     91      15  479765       -1.667      0.95225
ENSG00000204859    1    6540061    6749340     85      13  479359      -1.3921      0.91805
ENSG00000162413    1    6550784    6774667     94      12  479503      -1.4335      0.92414
ENSG00000116273    1    6573745    6784093     94      12  479503      -1.4446      0.92572
ENSG00000041988    1    6584926    6795646     90      11  480374      -1.5213       0.9359
ENSG00000007923    1    6594228    6861984    109      15  478818      -1.3906      0.91783
ENSG00000171735    1    6745384    7929766    566     104  430314     0.078302      0.46879
ENSG00000049245    1    7731329    7941492    106      20  469228     -0.46301      0.67832
ENSG00000049246    1    7744380    8005237    125      24  470653     -0.65474      0.74368
ENSG00000049247    1    7803143    8013572    112      22  472036     -0.49791      0.69073
ENSG00000049249    1    7879907    8100926     89      18  455336      0.28743      0.38689
ENSG00000116288    1    7914351    8145565     76      14  446766       0.3298      0.37078
ENSG00000116285    1    7964464    8186368     65       9  423422    -0.037168      0.51482
ENSG00000162426    1    8277886    8504227     72      15  434859     -0.91564      0.82007
ENSG00000142599    1    8312457    8977702    179      19  445211      0.84163          0.2
ENSG00000074800    1    8821061    9039308     95      22  408759      0.84112      0.20014
ENSG00000131686    1    8905926    9135151    117      36  422903       1.0746      0.14127
ENSG00000197241    1    8963359    9186404    118      37  422819       1.1733      0.12033
ENSG00000142583    1    8995166    9248537    124      38  420105       1.4375     0.075294
ENSG00000180758    1    9060364    9289229    103      28  420351       1.9722     0.024296
ENSG00000049239    1    9194834    9431396    115      38  385166      0.71457      0.23744
ENSG00000171621    1    9252939    9529591    133      44  383126    -0.051667       0.5206
ENSG00000171612    1    9499541    9745237     70      14  418381       1.4569     0.072576
ENSG00000188807    1    9548932    9774935     59      10  426734        1.385     0.083023
ENSG00000171608    1    9611790    9889172     83      15  411600       1.0118      0.15582
ENSG00000179840    1    9612668    9814644     64      12  418055       1.1885      0.11732
ENSG00000171603    1    9689084    9984584     74      14  385227       0.4307      0.33334
ENSG00000178585    1    9808334   10070394     58      13  383432       1.7221     0.042523
ENSG00000162441    1    9882173   10103465     45      10  383299       2.2631     0.011815
ENSG00000173614    1    9903486   10145559     40       8  383954       2.2217     0.013152
ENSG00000162444    1    9957264   10176078     35       6  384696       2.2783     0.011355
ENSG00000130939    1    9992890   10341297     87      14  431805       2.6297    0.0042727
ENSG00000054523    1   10170863   10541661    141      13  454084       1.5552     0.059953
ENSG00000142657    1   10358649   10580201     96      11  442505      0.64494      0.25948
ENSG00000251503    1   10390159   10612210    105      13  433168      0.59782      0.27498
ENSG00000175279    1   10390159   10612210    105      13  433168      0.59782      0.27498
ENSG00000241563    1   10409776   10611959     97      12  431243      0.36807      0.35641
ENSG00000160049    1   10416579   10632583    103      12  430875      0.40181      0.34391
ENSG00000142655    1   10432345   10790815    154      24  417131      0.55275      0.29022
ENSG00000130940    1   10596661   10956707    147      44  407071    -0.055762      0.52223
ENSG00000175262    1   10906528   11142094     96      24  457908      -1.2357      0.89172
ENSG00000120948    1   10972414   11185796     72      14  478491     -0.38994      0.65171
ENSG00000009724    1   10986580   11207290     68      11  479721    -0.051529      0.52055
ENSG00000116649    1   11014641   11220081     52       7  479117      0.24496      0.40324
ENSG00000171824    1   11026675   11259938     47       5  478733      0.34757      0.36408
ENSG00000198793    1   11066592   11422564     85       8  479753      0.18179      0.42788
ENSG00000171819    1   11149398   11356038     41       4  477376      0.36218      0.35861
ENSG00000120942    1   11233263   11456106     63       9  477468      0.20206      0.41994
ENSG00000204624    1   11439223   11697641    109      20  449618       1.6716     0.047303
ENSG00000116661    1   11608424   11815842     87      29  387407       2.6097    0.0045305
ENSG00000132879    1   11614432   11823384     86      29  386299       2.5232    0.0058139
ENSG00000116663    1   11624181   11834411     89      30  391742       2.5429    0.0054963
ENSG00000116670    1   11634537   11851707    100      31  403429        2.399    0.0082205
ENSG00000162490    1   11651786   11885914    131      30  425369       1.8638     0.031173
ENSG00000177674    1   11696141   11914859    140      26  440196       1.7671     0.038603
ENSG00000215910    1   11721844   11949642    148      26  450173       1.5445     0.061234
ENSG00000177000    1   11745780   11966977    140      23  459400       1.3515     0.088269
ENSG00000011021    1   11766207   12003201    142      23  466933       1.2771      0.10078
ENSG00000175206    1   11805766   12008402    132      20  474528       1.2587      0.10407
ENSG00000120937    1   11817521   12018988    133      20  480844       1.0933      0.13712
ENSG00000116685    1   11879648   12086485    115      21  480257      0.25197      0.40053
ENSG00000083444    1   11894262   12135595    119      22  477273     -0.16157      0.56418
ENSG00000116688    1   11940238   12173571     95      17  465047      -1.2245      0.88962
ENSG00000116691    1   11979523   12192102     93      20  459415      -1.0057      0.84273
ENSG00000120949    1   12023434   12304264    112      31  451693      -1.2405       0.8926
ENSG00000028137    1   12127060   12369285     87      30  442890      0.15314      0.43914
ENSG00000048707    1   12190124   12672099    156      37  435269      0.11149      0.45561
ENSG00000162496    1   12527939   12777737     93      28  404755      0.28622      0.38735
ENSG00000204518    1   12604566   12827097    104      24  430325      0.12831      0.44895
ENSG00000188984    1   12676118   12888726     73      13  436136      0.76417      0.22238
ENSG00000157330    1   12706163   12923847     60      10  448312      0.82342      0.20514
ENSG00000116726    1   12734984   12938049     51       8  460587      0.66899      0.25175
ENSG00000116721    1   12751546   12956777     48       7  465702      0.42877      0.33405
ENSG00000204513    1   12784468   12991264     34       4  476162     -0.24689      0.59751
ENSG00000179172    1   12807261   13008578     16       5  468774    -0.082389      0.53283
ENSG00000120952    1   12816941   13021764     12       3  464121    -0.021151      0.50844
ENSG00000243073    1   12839045   13046025      2       1  371079     -0.60405       0.7271
ENSG00000187545    1   12852727   13058101      2       1  371079     -0.60405       0.7271
ENSG00000204510    1   12876450   13080569      1       1  363402     -0.12111       0.5482
ENSG00000232423    1   12898181   13217751      1       1  363402     -0.12111       0.5482
ENSG00000204480    1   13594889   13798405     13       4  442596      0.98991      0.16111
ENSG00000204479    1   13616092   13819089     32       8  444073        0.984      0.16256
ENSG00000204478    1   13636907   13847803     52      17  420950       1.6817     0.046316
ENSG00000162494    1   13701445   13940543    109      33  398577      0.94107      0.17334
ENSG00000162493    1   13809960   14044452    122      38  392224      0.46636      0.32048
ENSG00000116731    1   13926693   14251574    157      40  419301       -0.358      0.63983
ENSG00000189337    1   14825200   15544539    408      99  392992     -0.59955       0.7256
ENSG00000171729    1   15379028   15646976    180      38  424958      0.36951      0.35587
ENSG00000204464    1   15390840   15597813    155      33  417760      0.31133      0.37778
ENSG00000142621    1   15473768   15826779    202      50  448111      0.25223      0.40043
ENSG00000142634    1   15636391   15856839     87      21  480936      0.26684       0.3948
ENSG00000162438    1   15664935   15875737     86      18  481110       0.4474      0.32729
ENSG00000142615    1   15683223   15898586     84      15  481071      0.59019      0.27753
ENSG00000215704    1   15692404   15917895     84      13  480872      0.57261      0.28345
ENSG00000132906    1   15717327   15953029     83      12  480849      0.69757      0.24272
ENSG00000116138    1   15753308   16018874     90      10  480995      0.88348      0.18849
ENSG00000116771    1   15798848   16011605     69       6  481759      0.94853      0.17143
ENSG00000197312    1   15843995   16095539     88      10  481778      0.63897      0.26142
ENSG00000215695    1   15886364   16088217     70       8  481533      0.69246      0.24432
ENSG00000116786    1   15910827   16161264     86      12  480975      0.34325       0.3657
ENSG00000162461    1   15962900   16167891     82      14  481094     0.094229      0.46246
ENSG00000162460    1   15968917   16174477     81      14  481074     0.054045      0.47845
ENSG00000162458    1   15983102   16213089     92      18  481090     -0.16865      0.56696
ENSG00000065526    1   16074359   16366955    132      19  480672      -1.0178      0.84561
ENSG00000116809    1   16168364   16402627    108      15  481147      -1.0524      0.85368
ENSG00000183888    1   16230731   16435302     95      15  481106      -1.2034      0.88559
ENSG00000173641    1   16240523   16446089     97      16  481140      -1.2245      0.88961
ENSG00000186510    1   16245370   16460545    104      19  481086      -1.2313      0.89089
ENSG00000184908    1   16270272   16483803    103      22  481232      -1.5306      0.93707
ENSG00000185519    1   16284264   16500127    110      24  481328      -1.6376      0.94925
ENSG00000142627    1   16350832   16582582    101      19  482564     -0.66608      0.74732
ENSG00000142632    1   16424349   16639104     96      13  482381      0.46273      0.32178
ENSG00000204377    1   16455368   16656038     90      12  482544      0.62176      0.26705
ENSG00000132881    1   16458195   16663657     92      12  482548      0.65741      0.25546
ENSG00000037637    1   16473334   16778949    115      14  480641      0.72347      0.23469
ENSG00000055070    1   16579070   16824640     75      11  465302       1.2334      0.10872
ENSG00000187144    1   16613612   16863919     65      12  458699         1.19      0.11702
ENSG00000157191    1   16667167   16886573     48      11  450188       1.0651      0.14342
ENSG00000268674    1   16765561   16966070     24       5  419042       1.3162      0.09405
ENSG00000219481    1   16788814   17040057     14       4  399103       1.4951     0.067443
ENSG00000058453    1   16966768   17399474     76      11  470560     -0.46769         0.68
ENSG00000117122    1   17200997   17407330     88      11  471038     -0.51857      0.69797
ENSG00000159363    1   17212453   17438423    109      12  469105     -0.74532      0.77196
ENSG00000117118    1   17245217   17480665    120      15  460823     -0.90969      0.81851
ENSG00000117115    1   17293256   17545948    152      21  441626      -0.6799      0.75171
ENSG00000142623    1   17431621   17672500    138      30  425394     -0.92245      0.82185
ENSG00000142619    1   17475593   17710728    152      34  436939     -0.95105      0.82921
ENSG00000159339    1   17534690   17790499    161      32  458716      -1.0011      0.84161
ENSG00000269468    1   17555507   17776070    151      29  462634      -1.0637      0.85626
ENSG00000179051    1   17633256   17866220    105      20  474217     -0.40713      0.65804
ENSG00000074964    1   17766330   18124369    105      26  441675     -0.51406      0.69639
ENSG00000117148    1   17981808   18253558    121      27  435642      -1.9007      0.97133
ENSG00000117154    1   18334240   18804977    326      78  384279       0.6711      0.25108
ENSG00000179023    1   18707424   18912478    133      35  409985      0.74192      0.22907
ENSG00000009709    1   18857500   19175360    163      47  388744     -0.48542      0.68631
ENSG00000179002    1   19066093   19286176    109      33  428170     -0.42787      0.66563
ENSG00000255275    1   19075767   19347615    127      37  439136      0.15388      0.43885
ENSG00000159423    1   19097926   19329275    100      33  443015     0.042159      0.48319
ENSG00000169991    1   19130775   19383180    101      28  467125      0.82443      0.20485
ENSG00000127481    1   19301000   19636770    138      18  482449        1.134      0.12839
ENSG00000127463    1   19442158   19678046    107      19  482573      0.26784      0.39441
ENSG00000053372    1   19478033   19686622    109      20  482576       0.2211      0.41251
ENSG00000162482    1   19509052   19715744    116      22  482586      0.10785      0.45706
ENSG00000053371    1   19530459   19738640    124      21  482595      0.32981      0.37077
ENSG00000040487    1   19538820   19755794    134      21  482605      0.60849      0.27143
ENSG00000077549    1   19565267   19912066    195      28  482472      0.95629      0.16946
ENSG00000270136    1   19823473   20084549    116      25  467870     -0.24802      0.59794
ENSG00000173436    1   19823477   20056314    102      20  473473     -0.42312      0.66389
ENSG00000158747    1   19867048   20084945     98      22  465141    -0.096179      0.53831
ENSG00000158748    1   19891780   20106055     99      23  464471      0.16405      0.43484
ENSG00000162542    1   19908706   20226438    158      43  461296     -0.86673      0.80696
ENSG00000178828    1   20040523   20241771     99      32  456004     -0.56151      0.71278
ENSG00000169914    1   20109006   20339438    119      32  443680      -0.4546       0.6753
ENSG00000188784    1   20146502   20350110     98      24  443237     -0.12585      0.55008
ENSG00000188257    1   20201925   20406932     97      25  420176      0.65453      0.25638
ENSG00000127472    1   20254672   20517683    113      30  413930      0.85505      0.19626
ENSG00000117215    1   20338432   20546050     86      25  419655      0.46468      0.32108
ENSG00000158786    1   20365819   20576879    103      31  422723      0.43655      0.33122
ENSG00000187980    1   20387746   20603917    115      33  425649       1.0091      0.15646
ENSG00000162543    1   20412578   20622541    101      30  443047       1.4431     0.074489
ENSG00000158816    1   20517412   20781387    157      33  462193       1.3119     0.094785
ENSG00000162545    1   20708884   20912713    118      28  465073     -0.39145      0.65227
ENSG00000090432    1   20725943   20934654    132      32  466946     -0.19028      0.57545
ENSG00000183114    1   20778932   20981512    141      28  472148     0.029296      0.48831
ENSG00000158825    1   20815441   21045401    158      31  475941      0.33501      0.36881
ENSG00000158828    1   20859948   21078004    152      31  479668      0.31744      0.37545
ENSG00000244038    1   20878270   21088000    145      29  481169      0.30167      0.38145
ENSG00000117245    1   20890507   21144510    148      30  477940      0.41138       0.3404
ENSG00000189410    1   20946225   21159330     93      20  474170      0.88668      0.18763
ENSG00000127483    1   20969154   21213816     97      18  470508       1.2157      0.11206
ENSG00000075151    1   21032963   21603377    141      12  441429       2.1426     0.016073
ENSG00000117298    1   21443740   21771997    106      25  454269       2.0442     0.020469
ENSG00000142794    1   21666621   21911498    101      26  476032       0.6152      0.26921
ENSG00000162551    1   21735858   22004905    137      36  480266      0.85079      0.19744
ENSG00000076864    1   21822708   22095801    159      39  479592       1.2792      0.10042
ENSG00000090686    1   21904791   22210099    138      33  478993        1.358     0.087227
ENSG00000187942    1   22038758   22251714     79      16  479985        1.593     0.055583
ENSG00000142798    1   22048738   22363790    101      22  480064       2.1872     0.014362
ENSG00000219073    1   22203514   22425135     67      15  476485       3.3141   0.00045969
ENSG00000142789    1   22228149   22439032     62      14  475981       3.5733   0.00017625
ENSG00000070831    1   22279120   22519437    102      25  470717       3.8917    4.977e-05
ENSG00000162552    1   22343798   22570462    136      29  466188       3.4754   0.00025509
ENSG00000184677    1   22678344   22957650    118      25  457668      0.91585      0.17987
ENSG00000070886    1   22790057   23030087     97      22  439563       1.0848      0.13899
ENSG00000173372    1   22862999   23066101     90      20  416468      0.49391      0.31068
ENSG00000159189    1   22870123   23074603     94      20  411723      0.42649      0.33488
ENSG00000173369    1   22879255   23088031     91      19  412810        0.315      0.37638
ENSG00000133216    1   22937332   23341818    148      37  408453     -0.48894      0.68756
ENSG00000215906    1   23179536   23391831     52       9  447003     -0.93797      0.82587
ENSG00000227868    1   23237327   23442343     59       6  469838    -0.087537      0.53488
ENSG00000004487    1   23245941   23510182     80       8  474522     -0.19659      0.57793
ENSG00000169641    1   23310516   23604301     98      10  480343    -0.086069      0.53429
ENSG00000179546    1   23416993   23621222     75       8  480897     0.047271      0.48115
ENSG00000125944    1   23530264   23770829     84      14  465088      0.73778      0.23032
ENSG00000125945    1   23585941   23795935     70      12  461560       0.9534      0.17019
ENSG00000249087    1   23595490   23798332     68      12  461184      0.93289      0.17544
ENSG00000204219    1   23607554   23851233     76      15  461245       0.7657      0.22193
ENSG00000088280    1   23655056   23911061     86      20  451810      0.50761      0.30586
ENSG00000007968    1   23732922   23957712     66      21  443935     -0.16945      0.56728
ENSG00000117318    1   23784409   23986285     58      21  437900      0.22498        0.411
ENSG00000197880    1   23807985   24067058     77      23  428000      0.10446       0.4584
ENSG00000142676    1   23918269   24122915     59      14  432960      0.23318      0.40781
ENSG00000011007    1   23969645   24188549     57       8  449645     -0.67475      0.75008
ENSG00000057757    1   24004895   24214722     54       5  473029     -0.96311      0.83225
ENSG00000011009    1   24017460   24222029     58       6  473698      -1.0733      0.85844
ENSG00000117308    1   24022089   24227271     56       6  477089      -1.1273       0.8702
ENSG00000117305    1   24028375   24265110     54       5  476880      -1.2875      0.90104
ENSG00000179163    1   24071567   24294784     48       5  477699      -1.3069      0.90437
ENSG00000188822    1   24097016   24385549     52       6  478086       -1.364      0.91372
ENSG00000189266    1   24185599   24389952     34       8  478686     -0.70068      0.75825
ENSG00000188529    1   24191294   24407417     51      10  480034     -0.86866      0.80748
ENSG00000142661    1   24282525   24538665    119      26  476716     -0.17929      0.57114
ENSG00000142677    1   24346261   24569611    127      29  478045    -0.086036      0.53428
ENSG00000185436    1   24380647   24614449    145      35  475377     -0.37961      0.64788
ENSG00000158055    1   24545812   24790972    136      21  478187     -0.23903      0.59446
ENSG00000001460    1   24583489   24843424    130      19  478639     -0.37994      0.64801
ENSG00000001461    1   24642284   24899466    134      19  473876      0.27554      0.39145
ENSG00000117602    1   24729387   24967530    103      21  450771      0.41807      0.33795
ENSG00000184454    1   24782602   25035819     81      21  432443      0.29314      0.38471
ENSG00000133226    1   24858207   25099758     78      20  427940      0.46021      0.32268
ENSG00000169504    1   24971848   25270815     81      13  419356      0.28644      0.38727
ENSG00000020633    1   25126002   25391612    142      33  415340       0.5341      0.29664
ENSG00000117614    1   25449170   25658993     32       7  388372     -0.12663      0.55038
ENSG00000117616    1   25468728   25764704     34       7  424941       1.7826     0.037322
ENSG00000187010    1   25498884   25756936     22       5  435955       1.9467     0.025784
ENSG00000183726    1   25564408   25788852     18       2  467056       2.1596     0.015403
ENSG00000188672    1   25588740   25856683     23       2  470463       2.2654     0.011745
ENSG00000204178    1   25657388   25926700     38       5  471773       2.1316      0.01652
ENSG00000157978    1   25770071   25995377     37       6  437353       1.2277      0.10977
ENSG00000117643    1   25843959   26212698    139      20  458583     0.021019      0.49162
ENSG00000162430    1   26026667   26244713    112      13  473886     0.063192      0.47481
ENSG00000255054    1   26037961   26250235    106      12  476328      0.15025      0.44028
ENSG00000117640    1   26045131   26259432    107      12  476388       0.1457      0.44208
ENSG00000223474    1   26045212   26247288    102      11  476077      0.21654      0.41428
ENSG00000127423    1   26058414   26285903    115      13  476829      0.10007      0.46014
ENSG00000182749    1   26087701   26297744    104      11  481762      0.19678        0.422
ENSG00000117632    1   26110672   26333482    106      10  482572     -0.35297      0.63795
ENSG00000158006    1   26186258   26424648     92      11  482548      -1.1514      0.87521
ENSG00000158008    1   26246375   26462955     75       9  482730      -1.1124      0.86701
ENSG00000158014    1   26263743   26472624     69       8  482730     -0.91416      0.81968
ENSG00000158022    1   26277795   26494927     76      10  482510     -0.85328      0.80325
ENSG00000175087    1   26337664   26552034     90      13  482171      -1.2335      0.89131
ENSG00000197245    1   26385511   26589119     88      14  482159      -0.9796      0.83636
ENSG00000142684    1   26396362   26598551     93      15  482189     -0.53919      0.70512
ENSG00000142675    1   26403894   26616377     97      15  482212     -0.18006      0.57145
ENSG00000188782    1   26417052   26629459    104      16  482247    -0.017603      0.50702
ENSG00000130695    1   26460691   26705299    145      19  482037      -0.0742      0.52957
ENSG00000142669    1   26505667   26708007    122      16  482043     0.070387      0.47194
ENSG00000158062    1   26507819   26744854    139      20  482127        0.432      0.33287
ENSG00000169442    1   26544448   26747014    116      16  482297      0.62102      0.26729
ENSG00000176092    1   26548350   26780621    126      19  482331      0.66114      0.25426
ENSG00000176083    1   26588125   26801013    118      21  482162      0.73923      0.22988
ENSG00000131914    1   26637269   26856213     99      22  482222      0.53156      0.29752
ENSG00000117682    1   26658773   26897785     97      21  481520      0.35243      0.36226
ENSG00000198830    1   26698941   26902463     77      14  481423      0.85695      0.19574
ENSG00000117676    1   26756252   27001521     61      12  480806      0.54826      0.29176
ENSG00000117713    1   26922524   27208595     51       7  465186       1.2354      0.10834
ENSG00000060642    1   27013963   27224889     51       6  463870       1.2102       0.1131
ENSG00000204160    1   27053201   27284093     57       6  467195        1.206       0.1139
ENSG00000175793    1   27089633   27290947     49       6  468082       1.1532      0.12441
ENSG00000142751    1   27102624   27316788     50       6  466550       1.1368      0.12782
ENSG00000198746    1   27116979   27326957     50       6  468379       1.1107      0.13334
ENSG00000090273    1   27126729   27373353     56       8  468119       1.0368      0.14992
ENSG00000131910    1   27137980   27340457     51       6  468660       1.0863      0.13868
ENSG00000175707    1   27176053   27386897     55       9  461388       1.0499      0.14688
ENSG00000253368    1   27220198   27427389     52      11  449892       1.0445      0.14813
ENSG00000158246    1   27231511   27439327     47      12  444614      0.92563      0.17732
ENSG00000090020    1   27325306   27593472     57      12  425076      0.38865      0.34877
ENSG00000142784    1   27461007   27735110     68      13  447738      -0.1545      0.56139
ENSG00000186501    1   27548651   27762891     58      12  467736     -0.96967      0.83389
ENSG00000142765    1   27568513   27780421     56      11  467200     -0.90344      0.81685
ENSG00000142733    1   27581675   27793383     61      10  468473     -0.97178      0.83442
ENSG00000142748    1   27595603   27801315     58       9  469182     -0.86189      0.80563
ENSG00000174950    1   27605666   27809870     57       8  470416     -0.85634      0.80409
ENSG00000181773    1   27619148   27822318     57       8  470416     -0.79837      0.78767
ENSG00000158195    1   27630730   27916669     66       8  466209     -0.68693      0.75394
ENSG00000126705    1   27760546   28030942     50      10  428795     -0.97261      0.83463
ENSG00000000938    1   27838575   28061788     40      12  403590     -0.69364      0.75605
ENSG00000126709    1   27892572   28098729     39       9  392344       -0.641      0.73924
ENSG00000009780    1   27952490   28189633     42       6  387208     -0.57156      0.71619
ENSG00000117758    1   27999694   28250963     56       8  422464     -0.12471      0.54962
ENSG00000117751    1   28057289   28278187     60      10  442473       1.2134      0.11249
ENSG00000268552    1   28077085   28277255     55       9  445752       1.1635      0.12232
ENSG00000130775    1   28099055   28313196     64      12  449372       1.7478      0.04025
